"Daily Weather Observations for Sydney, New South Wales for April 2022"
"Prepared at 13:00 UTC on Monday  2 May 2022   IDCJDW2124.202204"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-04-1,13.6,18.2,20.0,5.0,0.9,SSW,74,15:48,15.1,98,8,WSW,28,1016.3,17.6,77,7,SSW,37,1015.0
,2022-04-2,15.1,21.9,3.8,4.4,3.2,SW,50,00:09,16.0,74,8,W,20,1014.1,20.9,58,7,W,28,1011.7
,2022-04-3,13.7,26.3,0,3.6,7.9,W,44,11:47,19.5,68,4,WNW,15,1012.9,25.5,39,6,NNW,19,1009.8
,2022-04-4,14.7,29.3,0,,10.8,NW,28,11:43,19.4,62,1,WNW,11,1014.2,28.5,29,2,WNW,7,1010.8
,2022-04-5,14.6,27.1,0,12.4,10.7,ESE,30,16:41,19.7,71,1,WNW,15,1016.0,24.7,66,1,SSE,19,1014.6
,2022-04-6,17.7,19.1,12.0,3.8,0.0,SSE,44,17:18,17.7,98,8,SSW,19,1018.5,19.0,98,8,S,20,1016.9
,2022-04-7,17.1,20.3,114.8,,0.0,ESE,59,16:05,18.1,100,8,ESE,35,1020.6,18.7,96,8,SE,20,1019.6
,2022-04-8,17.2,24.1,37.2,,3.1,E,52,17:28,18.0,97,8,SE,9,1023.5,19.4,91,7,E,24,1021.8
,2022-04-9,17.1,23.2,9.2,3.0,7.0,ENE,41,12:36,19.1,98,7,W,9,1024.6,22.0,81,3,NE,11,1021.8
,2022-04-10,17.5,25.4,2.4,4.2,7.1,E,22,12:42,20.1,95,3,WNW,6,1021.9,24.0,71,2,E,15,1018.2
,2022-04-11,16.7,29.9,0.2,3.0,10.3,S,46,17:28,20.1,98,0,W,19,1017.9,26.8,53,2,SSE,20,1015.7
,2022-04-12,17.9,22.9,0.8,7.2,8.0,SSE,43,00:36,19.8,79,6,SSW,15,1021.9,22.7,66,3,S,17,1019.8
,2022-04-13,16.7,21.8,0,3.0,0.0,SSW,41,10:19,18.2,81,6,S,13,1023.1,20.6,74,7,SSW,24,1022.7
,2022-04-14,14.2,25.0,15.4,1.4,7.9,W,24,00:01,16.8,100,6,W,11,1026.5,23.5,61,3,E,17,1024.0
,2022-04-15,14.1,25.0,0.2,3.0,9.8,E,24,14:40,17.7,95,1,WNW,15,1024.6,24.2,61,2,E,17,1020.7
,2022-04-16,15.7,25.0,0,5.2,8.2,W,24,07:05,18.1,90,6,WNW,15,1022.0,23.6,68,5,ESE,13,1020.0
,2022-04-17,14.5,24.2,0,2.8,10.5,ENE,31,15:19,17.1,97,1,WNW,17,1021.0,23.7,62,1,NE,19,1017.5
,2022-04-18,15.0,25.6,0,4.6,9.2,ENE,22,15:19,17.3,92,6,W,9,1018.9,24.5,71,6,ENE,19,1015.7
,2022-04-19,16.1,29.2,0,3.0,,W,72,21:37,20.5,83,6,ENE,7,1016.5,26.4,66,5,NE,20,1011.6
,2022-04-20,14.6,24.9,11.6,5.2,10.9,SSW,41,15:46,17.6,70,1,W,22,1015.0,24.3,41,1,WSW,19,1014.9
,2022-04-21,13.1,22.6,0,6.6,5.4,SSE,41,18:24,17.0,71,1,W,20,1023.1,18.7,77,6,SSE,22,1023.3
,2022-04-22,15.1,18.6,6.0,2.6,0.0,S,37,12:56,16.3,86,8,WNW,15,1030.0,17.4,88,8,S,19,1029.2
,2022-04-23,14.5,24.4,14.6,1.4,6.2,E,35,23:05,16.3,100,7,WNW,15,1031.5,23.1,62,4,SE,11,1029.7
,2022-04-24,14.0,24.0,1.2,3.8,10.1,ESE,24,13:11,16.3,98,1,WNW,13,1032.0,23.1,50,2,ESE,13,1029.6
,2022-04-25,15.3,24.8,0.6,3.4,4.6,ESE,26,15:16,17.0,96,7,W,15,1029.4,21.4,55,4,ESE,19,1025.8
,2022-04-26,16.0,20.1,1.0,2.4,0.0,ENE,26,18:01,16.7,97,7,SW,6,1025.1,20.0,81,7,WNW,4,1021.1
,2022-04-27,16.1,19.3,1.6,1.8,0.4,W,22,01:18,17.5,99,8,WNW,17,1021.1,19.2,97,8,N,2,1018.1
,2022-04-28,17.2,22.3,4.2,0.4,1.1,W,22,04:11,19.3,99,7,WNW,6,1019.9,19.4,97,8,NNE,11,1018.6
,2022-04-29,17.6,26.8,6.6,0.6,8.3,NE,30,15:52,19.0,96,3,W,11,1021.7,26.2,76,3,NE,15,1018.4
,2022-04-30,17.8,20.7,3.8,3.8,2.0,W,50,08:27,17.8,93,8,W,20,1018.3,18.9,92,6,WNW,6,1016.6
