"Daily Weather Observations for Sydney, New South Wales for August 2022"
"Prepared at 16:00 UTC on Sunday  2 October 2022   IDCJDW2124.202208"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-08-1,9.2,21.5,0.2,3.8,7.4,NW,41,11:20,13.9,76,6,N,17,1016.2,20.2,31,1,WNW,19,1014.4
,2022-08-2,7.9,21.2,0,4.6,9.9,W,35,09:19,11.9,59,1,W,19,1021.2,20.8,35,1,ENE,20,1016.7
,2022-08-3,11.9,24.7,0,5.2,5.7,NNW,46,12:14,15.4,55,7,N,19,1015.9,24.4,46,2,N,20,1010.0
,2022-08-4,15.4,21.3,0,5.0,0.0,NNW,52,09:10,19.8,66,7,NW,24,1009.4,21.1,57,7,N,15,1004.3
,2022-08-5,16.0,23.2,0.8,4.2,6.2,NW,50,15:57,16.9,78,7,NW,13,1005.8,22.1,36,1,WNW,22,1001.7
,2022-08-6,12.4,20.8,0,4.4,9.9,W,44,11:20,15.7,60,1,NW,15,1008.8,20.0,34,3,W,20,1007.7
,2022-08-7,10.0,17.2,0,4.4,8.1,SW,41,20:20,12.6,68,2,W,17,1015.5,16.0,53,5,S,15,1015.2
,2022-08-8,8.1,17.5,0,3.4,9.7,SW,41,10:30,11.2,76,2,W,24,1022.6,16.1,56,2,S,24,1020.9
,2022-08-9,8.5,16.9,0.6,3.2,6.7,SW,43,12:48,11.0,79,6,W,20,1024.7,15.7,61,3,SSW,26,1023.4
,2022-08-10,8.5,17.3,13.0,2.6,7.5,W,33,00:30,10.7,89,2,W,20,1029.0,15.6,68,6,ESE,13,1027.1
,2022-08-11,9.3,17.2,0.2,2.0,0.8,NNE,28,12:53,11.5,97,7,WNW,9,1025.5,16.1,63,7,N,15,1020.2
,2022-08-12,11.5,16.4,0.6,4.6,0.1,N,31,15:51,14.6,72,7,N,17,1018.6,15.4,76,7,N,13,1015.6
,2022-08-13,11.0,20.0,5.8,0.8,6.7,W,41,13:23,13.0,91,7,W,17,1012.9,19.0,44,2,WNW,15,1009.5
,2022-08-14,10.2,18.3,0,3.6,8.1,NW,48,11:29,12.7,63,5,NW,19,1009.4,16.9,43,3,WNW,31,1006.2
,2022-08-15,9.9,18.8,0,5.6,4.3,WNW,52,10:54,13.2,57,5,NW,13,1009.4,17.4,44,7,W,30,1006.7
,2022-08-16,8.4,20.4,0,3.6,9.9,W,44,12:48,13.1,68,1,WNW,11,1009.9,19.1,34,3,WSW,19,1009.3
,2022-08-17,8.4,20.5,0,4.4,10.0,W,37,07:52,12.5,68,1,W,22,1019.7,19.3,46,2,SE,17,1017.8
,2022-08-18,8.9,21.8,0,2.0,4.4,W,30,07:41,11.7,78,7,WNW,17,1016.4,19.3,57,7,E,11,1011.9
,2022-08-19,11.5,20.4,0,5.6,3.7,SW,52,16:48,15.8,61,7,NW,7,1012.2,18.6,50,7,WSW,13,1011.1
,2022-08-20,8.4,18.9,0.4,1.8,7.9,W,39,11:02,13.2,56,7,WNW,22,1019.9,17.7,47,7,NW,13,1017.9
,2022-08-21,11.3,20.4,0,3.4,9.3,SSW,35,02:39,12.8,63,1,W,15,1027.7,17.2,51,1,E,19,1024.2
,2022-08-22,10.0,22.1,0,3.4,10.7,NNW,54,13:36,14.6,62,5,WNW,13,1021.1,21.2,35,3,NNW,33,1013.7
,2022-08-23,13.9,23.2,0,8.0,5.8,SSE,69,13:06,17.0,53,3,NNW,15,1009.7,10.2,91,8,SSW,43,1009.5
,2022-08-24,7.1,16.8,18.4,5.0,10.4,W,46,08:25,10.1,59,2,W,28,1020.6,16.6,45,1,S,17,1019.0
,2022-08-25,8.3,18.5,0,6.6,3.3,SW,37,19:51,12.9,63,6,W,24,1021.7,16.3,51,6,S,15,1021.8
,2022-08-26,9.3,16.6,2.8,,1.3,S,46,13:31,13.5,76,7,WSW,13,1027.5,14.3,90,7,S,19,1026.5
,2022-08-27,10.4,18.2,12.4,1.0,4.5,WNW,26,02:10,12.1,99,7,WNW,15,1030.2,17.2,74,4,ESE,9,1027.6
,2022-08-28,10.0,20.4,3.6,3.6,8.1,NE,33,13:23,12.0,100,7,WNW,9,1030.1,19.5,69,1,ENE,17,1026.6
,2022-08-29,12.0,19.4,0,3.2,4.4,NNE,37,15:01,15.7,93,7,W,17,1026.3,18.3,79,8,NE,20,1022.3
,2022-08-30,14.3,24.0,0.4,4.0,7.8,N,54,11:07,18.7,68,6,N,26,1016.3,23.3,53,2,N,28,1013.6
,2022-08-31,11.9,20.4,0,4.4,6.6,WSW,43,00:02,15.6,64,1,WNW,17,1024.4,17.1,78,7,SSE,19,1023.5
