"Daily Weather Observations for Sydney, New South Wales for September 2022"
"Prepared at 13:00 UTC on Friday  7 October 2022   IDCJDW2124.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,13.7,20.0,0.2,3.0,6.9,NNE,35,19:20,15.1,94,8,WNW,11,1024.2,19.6,75,3,ENE,20,1020.0
,2022-09-2,13.3,16.8,0.8,5.8,0.0,SSW,56,14:30,15.6,80,7,SSW,17,1022.3,15.5,79,8,SSW,31,1021.6
,2022-09-3,10.7,16.3,10.0,1.2,0.0,S,57,00:46,10.9,97,8,SSW,17,1024.1,13.5,84,7,SSE,26,1023.7
,2022-09-4,10.9,18.3,13.8,3.6,6.7,SSE,54,11:22,14.8,69,3,SSE,20,1025.3,13.7,87,7,SSW,11,1024.4
,2022-09-5,8.8,17.8,2.4,6.4,8.8,SSE,50,15:49,12.8,78,7,WNW,11,1024.1,16.0,55,3,S,24,1022.1
,2022-09-6,9.2,17.8,0.2,4.2,7.4,,,,13.9,78,2,W,13,1025.7,16.4,67,7,SSE,15,1023.9
,2022-09-7,9.7,20.0,0.4,2.4,9.9,NE,31,21:36,13.8,88,1,WNW,9,1026.1,18.7,59,5,E,22,1022.0
,2022-09-8,13.8,21.0,0,5.2,7.8,NNE,54,21:54,17.4,70,5,NE,20,1021.4,19.7,63,7,NE,26,1016.3
,2022-09-9,14.3,21.4,2.8,4.8,2.8,NNE,37,00:04,14.9,91,8,N,17,1013.5,20.8,61,3,ENE,17,1009.5
,2022-09-10,13.5,24.0,2.0,3.4,7.9,NW,39,13:58,17.0,68,6,SW,4,1009.8,23.8,41,6,W,17,1006.5
,2022-09-11,11.5,22.6,0,6.6,10.7,WSW,43,01:48,15.6,50,7,WSW,24,1015.4,22.1,38,1,E,19,1012.3
,2022-09-12,9.7,21.5,0,6.8,9.2,WSW,48,00:27,14.2,48,1,W,28,1018.6,17.4,41,6,ESE,19,1016.3
,2022-09-13,11.2,17.3,0,6.8,7.6,S,43,11:06,13.8,71,6,SSE,22,1026.2,15.7,52,7,S,24,1025.8
,2022-09-14,8.5,20.3,0,4.2,9.2,ENE,28,19:03,14.2,71,1,WNW,11,1029.0,18.4,48,3,ENE,19,1023.9
,2022-09-15,11.7,18.3,0,2.8,1.3,NNW,33,13:25,13.6,83,8,WNW,9,1017.9,13.8,93,8,NNW,13,1012.6
,2022-09-16,11.9,24.8,20.2,3.4,10.6,WNW,41,16:26,16.9,73,5,WNW,15,1005.3,22.7,30,1,WNW,20,1003.2
,2022-09-17,15.9,23.2,0,7.4,9.1,W,56,17:29,19.6,48,1,WNW,17,1006.0,21.7,36,4,WNW,20,1003.4
,2022-09-18,12.0,23.3,0,4.0,10.6,NW,48,15:55,17.0,46,3,WNW,13,1010.3,22.0,30,2,NW,31,1008.2
,2022-09-19,12.1,23.9,0,7.6,7.8,SE,35,15:33,16.1,56,7,WNW,7,1014.9,22.1,30,3,SSW,6,1013.2
,2022-09-20,9.8,21.5,0,6.2,10.4,NE,37,13:26,15.2,57,1,WNW,13,1023.6,20.3,59,1,NE,24,1020.0
,2022-09-21,15.2,20.4,0,5.8,1.7,NNE,50,10:31,18.8,79,7,NE,28,1019.5,18.7,83,8,ENE,20,1016.1
,2022-09-22,15.4,19.3,8.2,6.0,0.5,NE,54,11:26,16.8,95,8,NE,19,1018.8,18.1,78,8,NE,17,1017.8
,2022-09-23,15.0,19.9,5.8,2.0,0.0,NNE,37,13:44,17.4,92,8,WNW,2,1017.9,19.5,81,7,ENE,15,1013.7
,2022-09-24,15.7,19.1,1.2,2.2,3.5,SSW,44,11:22,18.1,90,7,W,13,1010.7,17.0,81,7,SSE,19,1009.7
,2022-09-25,11.5,23.1,1.2,2.8,10.2,ENE,26,13:52,14.9,87,1,WNW,15,1016.5,20.5,53,0,E,17,1013.6
,2022-09-26,11.7,20.7,0,5.8,2.5,ENE,26,16:28,15.5,82,7,WNW,13,1018.3,18.9,68,7,E,15,1015.1
,2022-09-27,13.8,22.8,0,1.6,3.3,NE,33,16:01,15.2,95,7,NW,6,1014.7,21.2,61,6,ENE,17,1011.1
,2022-09-28,13.8,23.9,3.8,5.4,9.0,ESE,41,05:25,17.0,84,3,WSW,11,1011.7,21.3,62,3,SE,22,1010.4
,2022-09-29,12.0,20.1,3.0,5.2,5.9,S,59,12:43,18.0,73,7,SSW,28,1017.3,16.4,90,8,SSW,24,1017.4
,2022-09-30,13.2,19.0,14.2,3.8,3.1,S,59,00:19,15.5,88,7,S,22,1024.5,18.9,69,7,S,26,1023.6
