"Daily Weather Observations for Sydney, New South Wales for October 2022"
"Prepared at 13:00 UTC on Monday 21 November 2022   IDCJDW2124.202210"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-10-1,13.6,19.9,10.4,3.6,5.2,SE,44,13:09,16.4,61,7,SE,20,1024.4,18.2,53,4,SSE,19,1021.3
,2022-10-2,10.8,19.5,0.8,5.6,8.4,SE,31,13:59,13.2,86,7,WNW,13,1020.7,17.4,61,2,ESE,24,1017.9
,2022-10-3,9.9,20.9,0,4.6,9.3,E,28,14:42,12.7,90,2,WNW,15,1023.0,19.7,58,5,E,19,1020.2
,2022-10-4,11.0,21.5,0,4.8,7.9,N,26,23:10,13.9,80,5,W,13,1022.6,21.1,55,7,NE,15,1020.1
,2022-10-5,13.8,16.9,17.6,5.4,0.0,E,50,11:24,16.2,75,8,E,22,1027.9,15.6,90,8,ESE,33,1025.4
,2022-10-6,13.9,16.7,27.6,2.0,0.0,E,52,23:28,15.8,96,8,E,33,1024.0,16.1,100,8,NNE,20,1020.9
,2022-10-7,14.7,21.5,91.0,,3.4,N,26,23:19,16.7,95,7,ENE,9,1017.1,18.9,86,8,NE,11,1014.1
,2022-10-8,16.0,23.1,5.6,1.4,3.1,SSW,33,20:28,17.2,97,2,W,6,1015.2,19.5,93,8,S,13,1014.2
,2022-10-9,10.3,17.4,50.2,5.2,4.5,SW,56,02:19,11.0,82,7,SW,24,1020.4,17.0,60,7,S,17,1020.7
,2022-10-10,11.0,18.4,2.2,4.2,3.9,SSE,28,11:05,14.4,74,6,SSE,11,1027.3,16.9,63,7,ESE,15,1025.9
,2022-10-11,12.9,21.0,0,4.6,2.9,ENE,30,06:25,16.5,70,7,E,17,1025.8,20.5,57,6,E,24,1023.5
,2022-10-12,12.4,20.1,0.2,3.8,0.5,ENE,41,20:27,15.2,87,7,WNW,11,1024.1,19.5,70,7,E,17,1022.4
,2022-10-13,14.2,21.6,0.4,3.2,3.4,NE,46,19:47,18.4,72,7,NE,17,1021.4,21.1,63,7,ENE,30,1017.2
,2022-10-14,16.9,25.6,0.2,5.6,8.7,W,50,14:10,17.6,90,5,NNE,15,1007.9,25.0,27,1,W,31,1010.3
,2022-10-15,13.3,23.6,0,7.8,11.5,W,31,07:09,16.4,59,1,W,20,1019.1,21.9,53,1,ESE,19,1017.3
,2022-10-16,15.2,23.1,0,6.6,11.4,S,39,23:00,17.7,59,5,S,7,1019.6,22.2,57,7,ESE,22,1017.5
,2022-10-17,14.2,19.2,41.4,3.8,4.4,SSE,43,13:20,14.6,99,7,SSE,17,1022.2,18.2,71,7,SE,24,1021.2
,2022-10-18,13.7,21.3,13.8,6.4,2.7,E,31,09:26,17.7,81,7,E,22,1022.2,18.3,83,7,E,22,1019.5
,2022-10-19,16.7,25.3,0.8,4.8,6.3,ESE,26,13:47,18.1,96,6,WNW,13,1017.8,22.7,72,8,ESE,22,1016.2
,2022-10-20,17.9,23.1,0,2.6,0.4,NE,31,20:54,20.2,91,8,SE,13,1017.5,20.5,87,7,E,13,1015.4
,2022-10-21,18.6,23.3,1.0,2.0,0.9,NE,50,19:00,20.2,95,8,NE,13,1015.3,21.9,84,7,NE,26,1012.5
,2022-10-22,17.9,24.3,0.6,3.2,2.0,NE,54,14:22,19.9,90,7,NE,19,1013.4,21.3,84,7,NE,31,1010.7
,2022-10-23,17.9,22.3,1.0,5.8,0.4,SE,30,14:58,19.5,91,8,NE,6,1013.9,21.1,82,8,SE,15,1013.2
,2022-10-24,16.4,21.1,7.0,3.8,0.0,SSE,44,11:09,18.0,100,8,SE,20,1012.6,20.3,94,8,NW,7,1007.3
,2022-10-25,17.4,27.3,21.2,2.0,7.2,W,33,21:49,19.1,98,7,WNW,15,1005.1,25.1,73,3,ENE,20,1001.7
,2022-10-26,17.7,29.0,0.8,4.2,11.1,NW,43,12:36,22.0,66,1,E,4,1002.1,28.3,36,5,WNW,24,999.7
,2022-10-27,18.2,28.2,0,9.6,6.7,WSW,67,11:46,22.0,54,4,WNW,15,1001.8,22.5,65,6,NNW,20,999.7
,2022-10-28,15.4,25.9,1.4,7.2,12.5,W,57,14:45,19.4,46,1,W,24,1003.1,23.2,29,2,WNW,31,1000.4
,2022-10-29,15.1,27.5,0.2,7.2,12.6,WSW,44,16:42,18.8,44,1,W,26,1005.2,26.9,29,1,NNW,19,1003.1
,2022-10-30,13.9,23.6,0,8.2,10.5,W,35,01:08,17.9,47,1,WSW,9,1011.3,22.1,50,7,ENE,24,1009.2
,2022-10-31,16.5,27.6,0,9.8,4.2,NNW,65,19:27,21.4,65,6,E,13,1002.6,25.9,60,8,WNW,6,996.3
