"Daily Weather Observations for Sydney, New South Wales for November 2022"
"Prepared at 13:00 UTC on Thursday  1 December 2022   IDCJDW2124.202211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-11-1,18.2,24.0,0.2,4.6,9.5,WNW,69,06:50,19.2,45,2,WNW,35,992.9,23.1,30,2,WNW,31,992.0
,2022-11-2,11.1,20.5,0.6,13.0,12.8,W,67,12:54,14.0,44,1,W,31,1003.2,19.7,29,1,SW,22,1005.9
,2022-11-3,11.1,22.0,0,7.8,8.9,W,56,07:41,15.9,50,1,WSW,31,1014.7,20.0,42,7,SE,20,1016.6
,2022-11-4,13.4,23.1,1.0,6.0,5.7,SSE,26,23:24,15.8,82,6,E,6,1026.9,22.8,55,5,ENE,17,1026.8
,2022-11-5,13.4,23.6,0.2,4.4,11.8,ENE,37,15:20,17.7,76,3,WSW,4,1029.7,22.2,60,2,ENE,24,1026.9
,2022-11-6,13.3,24.0,0,4.0,12.1,ENE,39,16:12,19.0,75,1,ESE,6,1026.6,23.1,59,1,E,26,1023.3
,2022-11-7,15.4,24.2,0,9.8,12.3,NE,41,11:44,20.4,80,5,E,15,1023.4,23.4,58,2,ENE,24,1020.6
,2022-11-8,16.0,24.2,1.2,8.0,11.0,ENE,35,15:55,21.1,67,4,ENE,15,1021.5,24.0,59,2,ENE,24,1020.2
,2022-11-9,14.9,24.2,0.2,8.0,10.3,E,33,12:37,19.2,77,7,WNW,6,1023.0,23.6,46,1,ENE,26,1021.9
,2022-11-10,14.9,24.4,0,7.8,9.3,ENE,43,17:10,17.7,76,7,WNW,7,1023.1,24.1,55,1,ENE,24,1019.1
,2022-11-11,14.9,24.9,0,7.8,9.1,ENE,39,12:12,20.1,60,4,ENE,7,1015.2,24.4,56,7,NE,17,1011.4
,2022-11-12,16.0,27.9,0,7.8,9.5,ESE,26,13:53,20.7,77,1,N,4,1012.1,27.7,51,3,ESE,19,1011.1
,2022-11-13,18.9,25.6,0,6.4,1.7,NNW,46,16:21,21.2,85,8,SE,2,1010.2,25.2,70,7,NNE,24,1005.0
,2022-11-14,18.1,27.9,37.6,4.2,10.8,W,67,13:20,20.6,76,1,WNW,11,1001.3,27.6,34,2,W,33,1000.5
,2022-11-15,16.2,24.9,0.2,9.6,9.2,SW,33,07:39,20.4,54,2,WSW,19,1008.4,22.6,62,7,E,20,1005.6
,2022-11-16,13.0,21.6,0.8,8.0,9.1,S,54,14:56,15.9,42,2,WSW,22,1010.1,15.3,56,7,WSW,24,1009.5
,2022-11-17,10.0,20.3,3.4,5.2,12.6,SSE,46,14:00,15.4,62,1,W,17,1015.1,19.1,45,1,SSE,24,1013.7
,2022-11-18,12.4,22.2,0,8.0,12.9,SSE,37,10:05,17.1,52,1,SW,17,1016.4,21.2,47,1,SSE,24,1014.0
,2022-11-19,12.9,23.9,0,7.6,12.3,ENE,50,15:05,19.0,69,3,NNW,13,1012.3,22.4,64,3,NE,30,1005.9
,2022-11-20,18.0,27.4,0.8,7.8,13.3,W,70,10:36,23.9,56,1,WNW,19,995.9,25.3,30,3,WNW,37,998.9
,2022-11-21,17.1,24.5,0,12.2,12.7,W,83,13:27,21.8,35,1,WNW,24,1002.3,22.3,31,2,WNW,43,1002.7
,2022-11-22,11.7,24.0,0,12.0,13.0,W,63,06:50,15.3,42,1,WSW,37,1012.8,23.7,28,1,W,30,1011.1
,2022-11-23,13.7,28.3,0,8.0,12.4,W,54,08:27,18.8,48,1,W,28,1014.2,27.2,31,2,WNW,19,1012.5
,2022-11-24,15.8,25.4,0,11.2,12.0,E,33,15:17,20.7,49,1,W,13,1018.4,25.1,48,1,E,19,1016.7
,2022-11-25,16.6,24.1,0,7.8,12.7,E,31,11:28,20.0,77,3,NNE,7,1018.4,23.5,67,2,E,22,1015.3
,2022-11-26,17.0,23.3,0.6,6.2,11.1,SSE,41,07:03,19.1,70,5,SSW,15,1015.9,23.0,48,2,E,19,1012.5
,2022-11-27,17.0,26.8,0,8.0,3.7,WSW,54,18:51,19.7,74,7,NNE,6,1004.9,24.8,68,4,E,11,1001.1
,2022-11-28,17.1,23.8,8.8,3.8,8.9,SSW,31,03:28,20.1,82,6,SSW,19,1006.8,22.7,63,6,ESE,22,1005.5
,2022-11-29,15.9,25.4,0,4.0,12.5,SSE,46,11:55,20.4,46,1,SW,20,1011.6,23.6,52,1,SE,30,1013.1
,2022-11-30,16.0,22.9,0,11.4,1.3,E,31,14:16,18.8,59,7,E,13,1019.4,20.7,56,7,E,24,1016.9
