"Daily Weather Observations for Sydney, New South Wales for December 2022"
"Prepared at 13:00 UTC on Monday  2 January 2023   IDCJDW2124.202212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-12-1,17.9,22.5,0,3.8,0.4,ESE,30,10:36,19.9,64,7,ESE,15,1017.0,21.7,55,7,ESE,20,1015.1
,2022-12-2,16.5,25.3,0,10.4,7.5,ESE,33,11:55,20.0,60,7,SSE,19,1017.4,24.7,50,6,SE,19,1016.6
,2022-12-3,15.2,24.4,0,8.0,12.8,E,31,17:24,19.5,74,3,SSW,9,1019.3,23.8,52,1,E,22,1017.1
,2022-12-4,15.4,26.0,0,6.8,12.7,ENE,43,15:51,19.9,74,5,W,2,1017.4,24.9,45,1,ENE,26,1014.1
,2022-12-5,16.4,27.9,0,10.7,10.3,N,41,15:36,21.8,73,2,E,15,1009.0,26.3,59,3,ENE,20,1003.3
,2022-12-6,17.4,24.2,6.6,9.0,11.9,ESE,44,13:21,20.7,73,3,S,15,1007.5,22.8,52,3,SE,22,1006.7
,2022-12-7,15.9,25.4,0,8.2,5.1,NNW,39,17:01,21.0,72,4,N,7,1006.2,24.0,67,7,ESE,9,1002.8
,2022-12-8,18.4,22.9,0,4.4,12.2,SW,46,06:37,21.0,34,1,WSW,19,1006.1,20.9,42,1,SE,24,1006.7
,2022-12-9,14.9,22.1,0,11.2,8.2,ESE,41,11:40,17.1,54,7,S,13,1014.3,21.0,46,1,SE,24,1013.6
,2022-12-10,15.2,24.4,0,12.0,9.9,SSE,37,00:52,19.0,59,6,SW,6,1019.1,22.9,48,2,E,17,1016.6
,2022-12-11,14.8,28.6,0.2,5.6,12.4,NE,44,18:49,20.2,70,1,NNE,9,1013.2,25.7,56,1,NE,19,1007.9
,2022-12-12,20.2,29.6,0,15.0,7.2,W,94,09:50,28.5,47,6,NNW,35,998.5,26.0,44,6,WNW,31,998.3
,2022-12-13,14.0,25.7,22.6,9.2,12.7,NNE,43,19:13,19.2,40,0,WNW,13,1010.2,24.8,40,1,ENE,30,1006.3
,2022-12-14,15.0,25.3,0,11.4,12.3,W,59,15:21,19.4,46,3,WSW,26,1008.1,24.7,21,2,W,35,1006.0
,2022-12-15,13.4,24.0,0,8.8,12.7,SSE,57,18:11,17.8,42,2,WSW,20,1008.7,23.2,38,3,SSE,28,1008.0
,2022-12-16,12.5,21.8,0.6,9.2,8.3,S,63,17:15,15.4,51,7,SW,17,1014.6,20.4,46,2,SSE,37,1014.4
,2022-12-17,14.3,20.6,0.2,8.0,2.9,S,54,16:50,17.6,65,7,SSW,22,1020.0,19.9,56,7,S,30,1020.4
,2022-12-18,13.4,20.8,35.0,5.4,4.9,SSE,56,16:14,14.3,99,8,SW,15,1022.7,18.8,71,6,S,22,1021.7
,2022-12-19,14.2,21.4,5.8,6.0,6.8,SW,56,12:41,17.9,62,7,SSW,22,1024.2,19.3,54,6,S,24,1023.5
,2022-12-20,13.6,23.4,0,7.0,9.1,SE,43,14:19,17.5,65,7,SSW,19,1022.7,21.6,46,1,SE,20,1020.5
,2022-12-21,14.5,23.5,0,6.8,10.2,SE,33,11:07,18.4,66,4,SSW,9,1019.5,22.3,50,6,ESE,20,1016.7
,2022-12-22,14.8,23.5,0,9.3,2.3,NE,33,10:15,20.2,63,7,NE,15,1016.3,21.5,60,7,ENE,19,1014.1
,2022-12-23,16.6,28.9,0.8,2.4,12.2,ESE,30,11:54,20.5,83,4,W,9,1011.8,25.2,68,3,E,20,1009.1
,2022-12-24,18.5,29.7,0,7.0,13.4,NE,39,15:05,22.4,75,1,NW,7,1010.1,28.7,59,2,NE,11,1008.2
,2022-12-25,19.6,27.4,0,10.2,8.2,SSE,31,01:00,21.5,83,8,SSE,7,1016.2,26.6,66,1,E,19,1015.6
,2022-12-26,19.3,28.4,0,7.8,10.7,NE,48,18:01,21.1,96,4,SE,4,1021.5,27.4,72,1,ENE,24,1019.9
,2022-12-27,18.9,28.1,0,10.0,13.2,ENE,35,17:37,22.5,85,2,ESE,9,1023.6,27.9,57,1,E,20,1020.9
,2022-12-28,19.6,27.8,0,9.8,13.0,NE,48,17:17,22.3,75,1,NE,11,1017.1,27.4,58,1,ENE,26,1012.3
,2022-12-29,19.7,22.8,0,10.4,0.0,SSE,44,04:32,20.2,84,8,S,24,1016.2,22.4,73,8,SSW,13,1017.1
,2022-12-30,18.8,24.9,5.4,2.2,0.3,SSW,31,04:33,21.4,99,8,NE,7,1018.9,24.4,72,7,E,20,1017.4
,2022-12-31,18.1,25.8,1.0,4.6,3.6,,,,22.6,81,6,SE,2,1016.9,24.2,76,7,ENE,22,1014.9
