"Daily Weather Observations for Sydney, New South Wales for January 2023"
"Prepared at 13:00 UTC on Thursday  4 May 2023   IDCJDW2124.202301"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-01-1,20.1,27.4,0.2,5.4,10.6,E,41,17:42,23.8,73,6,ENE,19,1016.3,24.8,73,5,ENE,26,1014.3
,2023-01-2,18.9,28.1,0,8.4,10.2,NE,44,17:16,22.8,70,3,N,9,1014.3,27.8,54,3,E,30,1010.2
,2023-01-3,20.5,27.8,0,10.6,9.5,E,52,20:38,23.8,74,2,E,13,1006.9,27.3,60,1,ENE,26,1004.1
,2023-01-4,20.9,25.8,1.6,9.4,2.1,S,52,22:42,24.2,79,7,E,17,1004.8,22.3,87,8,E,28,1002.7
,2023-01-5,17.1,23.2,13.0,3.2,5.3,S,65,10:43,19.0,85,5,SSW,31,1009.0,22.1,60,6,S,31,1010.0
,2023-01-6,15.1,20.6,2.0,6.4,0.3,SSE,63,11:05,18.1,89,8,SW,24,1011.0,18.4,98,8,SSE,30,1012.6
,2023-01-7,16.6,22.8,55.8,6.2,0.6,S,48,14:02,18.0,96,8,S,11,1014.5,22.1,59,6,S,28,1014.1
,2023-01-8,15.5,25.2,3.4,5.0,11.5,ESE,39,14:29,19.5,74,4,SW,19,1014.6,24.7,54,2,SE,22,1012.9
,2023-01-9,15.6,27.3,0,6.6,13.3,ESE,28,16:23,20.1,76,1,W,13,1012.9,26.6,57,1,ESE,19,1011.5
,2023-01-10,17.0,26.6,0,7.6,12.7,SSE,39,15:23,21.0,80,1,WNW,13,1014.4,26.1,55,2,SE,24,1014.4
,2023-01-11,20.7,27.0,0,9.6,2.9,E,28,18:32,22.0,73,8,SSW,7,1015.6,25.6,56,5,ENE,11,1014.0
,2023-01-12,20.8,27.1,0,6.2,6.1,E,35,17:47,22.8,74,7,N,4,1016.6,26.8,60,3,ENE,22,1015.3
,2023-01-13,19.4,27.3,0,6.8,7.8,ENE,37,15:50,22.3,81,6,W,9,1019.3,26.1,66,6,E,26,1017.5
,2023-01-14,20.0,26.9,2.6,7.6,7.0,ENE,46,15:45,20.0,93,7,N,11,1020.1,26.2,60,5,ENE,33,1017.2
,2023-01-15,18.8,28.6,3.6,8.6,11.9,NE,43,14:51,22.9,71,0,N,11,1017.4,28.0,58,1,ENE,28,1014.5
,2023-01-16,21.4,29.2,0,9.8,10.6,E,30,14:29,24.2,70,3,E,13,1022.0,28.2,59,5,E,19,1021.3
,2023-01-17,20.0,28.6,0,8.0,11.4,NE,39,17:14,23.6,80,7,ESE,6,1020.7,26.7,66,5,E,28,1017.9
,2023-01-18,19.5,30.2,0.2,10.4,8.0,NE,44,17:05,23.4,73,1,NNE,11,1012.7,28.9,58,4,NE,24,1007.1
,2023-01-19,18.7,20.3,20.0,10.6,0.0,SSE,56,07:58,18.7,94,8,SSE,35,1009.9,19.5,71,8,S,30,1011.5
,2023-01-20,16.7,22.0,6.4,4.0,0.0,SSE,39,03:07,18.0,91,8,SSE,19,1016.6,19.5,78,8,S,17,1016.5
,2023-01-21,16.5,25.5,2.8,3.8,7.2,ESE,33,13:17,19.3,85,1,WNW,9,1017.7,25.1,58,5,ESE,24,1015.5
,2023-01-22,18.9,21.7,0.6,5.2,0.0,NE,41,00:44,18.9,94,8,WNW,11,1016.1,20.2,87,8,SSE,4,1015.3
,2023-01-23,16.8,27.0,9.6,0.6,8.6,SSE,33,15:24,19.8,89,7,W,13,1013.5,25.8,55,4,SSE,20,1011.9
,2023-01-24,18.2,27.9,0.2,7.4,12.2,E,33,14:20,21.2,81,3,W,9,1012.5,26.7,68,2,E,24,1009.9
,2023-01-25,18.1,28.4,3.2,5.8,11.1,E,28,14:14,21.2,90,1,WNW,11,1013.2,28.2,67,1,E,19,1011.7
,2023-01-26,20.8,29.5,0,6.2,8.6,S,39,21:57,22.7,91,0,SSE,2,1012.9,26.9,75,4,E,20,1010.1
,2023-01-27,21.2,28.3,0,9.6,6.0,SSW,43,07:40,22.9,86,7,S,20,1015.4,26.9,71,3,S,17,1014.3
,2023-01-28,21.7,29.5,1.4,5.4,9.9,NNE,50,17:38,24.5,92,5,W,7,1014.3,28.9,75,1,ENE,26,1011.0
,2023-01-29,23.9,29.7,0.2,8.0,2.6,NE,35,23:22,25.0,91,8,NNE,11,1012.8,28.4,79,7,E,6,1012.4
,2023-01-30,21.9,30.0,1.6,5.4,2.1,SSW,50,20:17,22.6,94,8,NNE,6,1010.8,28.1,68,7,E,20,1006.7
,2023-01-31,20.4,27.6,63.0,6.2,6.3,SW,56,21:00,23.0,76,5,SSW,19,1005.3,26.6,63,5,SSW,17,1002.6
