"Daily Weather Observations for Sydney, New South Wales for February 2023"
"Prepared at 13:00 UTC on Wednesday  3 May 2023   IDCJDW2124.202302"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-02-1,20.0,28.7,0,6.4,11.6,WSW,35,23:09,22.2,71,3,WSW,9,1003.8,27.0,55,3,ESE,22,1001.8
,2023-02-2,21.6,29.1,0,6.0,11.4,NE,52,15:49,23.4,77,1,N,11,1000.5,28.9,68,2,NE,26,994.3
,2023-02-3,22.1,30.6,0,10.6,11.6,SE,37,14:02,22.8,45,1,W,17,995.6,28.1,43,1,ESE,31,994.5
,2023-02-4,17.5,28.9,0,10.8,12.7,WSW,44,13:47,18.8,45,1,WNW,20,1005.6,27.7,22,1,WNW,22,1004.6
,2023-02-5,17.7,28.0,0,11.2,12.7,E,33,18:40,20.5,50,1,W,15,1015.1,27.4,43,0,E,20,1014.4
,2023-02-6,20.5,28.4,0,8.6,10.1,ENE,43,15:17,22.8,82,4,ENE,2,1018.1,28.0,65,1,E,30,1015.6
,2023-02-7,21.8,28.7,0,7.2,4.3,E,28,10:07,24.4,78,7,NNE,11,1016.2,28.4,59,5,E,20,1014.5
,2023-02-8,21.1,28.2,0,6.2,2.8,E,41,19:26,23.8,77,7,WNW,7,1015.6,25.8,74,6,ESE,24,1014.3
,2023-02-9,19.4,23.4,27.8,,1.5,ESE,56,15:04,22.0,94,8,ENE,19,1013.3,20.8,95,8,E,30,1010.5
,2023-02-10,17.8,28.0,19.4,,12.0,ENE,31,16:40,20.0,97,1,WNW,13,1009.0,27.3,72,2,E,20,1005.7
,2023-02-11,19.3,30.4,0,8.0,11.0,NE,50,19:56,22.2,88,7,W,11,1006.5,29.9,65,1,NE,26,1002.2
,2023-02-12,21.5,27.3,0,10.8,11.2,S,63,14:35,24.6,53,5,WSW,17,1003.7,26.8,64,1,SSE,37,1004.9
,2023-02-13,19.1,25.5,0.4,7.2,4.7,SSE,39,04:14,21.4,75,7,SSE,28,1011.0,24.9,60,7,S,22,1010.1
,2023-02-14,18.3,21.2,3.4,7.2,1.2,SSW,44,05:19,20.2,84,7,SSW,20,1011.8,18.6,99,7,SW,11,1012.8
,2023-02-15,18.1,26.9,45.8,1.8,9.0,NE,35,16:35,20.3,93,6,W,13,1017.0,26.1,59,1,E,22,1015.4
,2023-02-16,18.2,28.3,0,7.8,12.3,NE,43,14:18,21.0,77,1,NNE,11,1018.0,27.5,57,2,ENE,26,1014.8
,2023-02-17,19.6,28.3,0,8.0,12.1,ENE,43,14:13,22.1,83,1,N,7,1016.9,27.6,65,1,ENE,24,1014.3
,2023-02-18,20.7,30.0,0,8.4,9.2,SW,70,17:48,22.7,85,1,ESE,6,1014.3,29.3,65,4,ENE,17,1010.4
,2023-02-19,20.9,28.7,5.0,13.4,9.0,S,39,00:25,23.4,77,7,SSW,19,1018.9,25.7,74,4,ESE,11,1018.7
,2023-02-20,21.6,29.4,0,6.0,10.0,ENE,39,14:27,24.0,87,7,N,9,1020.1,28.7,66,1,ENE,24,1017.8
,2023-02-21,21.1,28.4,0,10.8,10.0,SSE,54,19:07,23.1,89,1,ESE,7,1021.5,27.9,66,1,E,20,1020.3
,2023-02-22,18.9,21.6,,,0.0,SSE,65,03:40,21.0,72,8,SSE,28,1025.6,18.6,91,8,SSE,17,1025.9
,2023-02-23,18.5,24.4,,5.0,1.8,ESE,50,06:43,19.0,87,8,E,24,1023.9,22.8,65,7,E,28,1023.4
,2023-02-24,16.9,26.8,,3.6,8.7,ENE,37,14:52,19.9,85,4,WNW,9,1022.0,26.6,53,3,E,24,1019.6
,2023-02-25,17.7,26.9,0.2,5.4,11.8,NE,41,16:36,18.9,92,1,WNW,13,1018.5,26.1,56,2,NE,20,1015.5
,2023-02-26,18.7,29.4,0,10.0,9.8,WSW,56,22:18,20.5,83,6,NNW,4,1013.1,28.3,61,1,ENE,13,1009.5
,2023-02-27,20.5,26.2,1.2,8.2,2.7,SSW,37,05:07,23.2,82,7,SSW,15,1012.4,25.6,72,7,SE,15,1011.3
,2023-02-28,20.8,27.7,2.4,6.2,4.8,E,33,14:50,22.1,86,5,WNW,9,1013.0,27.5,64,5,E,24,1009.1
