"Daily Weather Observations for Sydney, New South Wales for March 2023"
"Prepared at 16:00 UTC on Tuesday  2 May 2023   IDCJDW2124.202303"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-03-1,21.5,28.1,0,4.8,9.8,SSW,65,14:12,22.7,89,7,W,15,1006.2,26.9,60,5,SSW,35,1007.2
,2023-03-2,19.4,27.1,0,10.0,9.3,E,28,16:10,20.3,94,6,NNW,6,1013.6,26.0,67,3,E,15,1011.7
,2023-03-3,19.3,25.2,2.2,3.2,1.3,SSW,37,12:00,21.0,94,7,SSE,4,1016.2,22.5,90,8,S,24,1016.1
,2023-03-4,19.5,28.1,20.0,2.4,6.7,E,26,17:31,20.7,99,5,W,11,1017.5,25.6,62,7,E,13,1015.6
,2023-03-5,18.3,28.1,0,6.4,11.1,NE,50,17:45,19.8,91,1,WNW,9,1013.6,27.8,62,1,ENE,24,1008.8
,2023-03-6,19.7,37.9,0,8.0,11.0,NNW,57,11:52,23.8,72,1,ENE,4,1004.5,36.8,28,3,NNW,28,1000.3
,2023-03-7,22.3,34.0,0,12.0,9.3,ENE,33,15:37,24.2,70,7,WNW,11,1006.6,28.4,52,1,E,22,1003.7
,2023-03-8,18.8,30.0,0,10.2,10.3,E,31,14:01,20.1,58,1,W,11,1006.3,27.2,41,1,E,24,1002.8
,2023-03-9,16.7,28.4,0,7.0,11.5,SE,33,14:40,18.7,61,1,W,15,1010.7,26.8,45,1,ESE,22,1009.0
,2023-03-10,16.6,27.4,0,8.4,9.2,NE,46,19:44,18.7,83,1,WNW,15,1017.0,26.8,59,5,ENE,24,1014.6
,2023-03-11,18.7,28.6,0,6.4,10.6,NE,41,17:31,20.4,88,1,W,13,1014.0,28.0,66,1,ENE,17,1009.8
,2023-03-12,20.4,27.0,0,7.0,6.0,SSW,50,11:28,23.1,81,6,SSW,22,1010.5,25.6,70,6,SSE,26,1010.4
,2023-03-13,21.4,24.9,0,8.6,3.8,ESE,43,09:16,22.4,71,6,ESE,28,1016.3,23.2,66,7,ESE,19,1016.7
,2023-03-14,20.4,23.8,0.6,2.8,0.7,ESE,33,03:02,21.7,91,7,E,13,1017.8,21.6,89,7,NE,7,1016.2
,2023-03-15,18.4,28.5,9.8,1.8,9.8,ENE,24,12:29,19.9,100,6,WNW,13,1014.0,26.5,70,2,E,19,1010.4
,2023-03-16,18.9,36.2,0,5.0,10.5,W,37,16:02,20.1,99,3,WNW,11,1010.8,35.5,32,1,W,11,1005.9
,2023-03-17,20.0,31.6,0,10.0,9.1,SSE,41,11:56,24.1,48,0,W,13,1013.6,28.2,61,1,ESE,28,1014.9
,2023-03-18,20.7,29.1,0,6.8,10.5,NNE,41,18:09,22.7,92,5,NNE,4,1019.7,28.6,65,1,ENE,24,1016.7
,2023-03-19,20.7,28.9,0,6.8,9.8,SSW,28,21:40,21.6,100,3,W,13,1018.0,28.4,70,1,ESE,19,1015.6
,2023-03-20,21.6,23.6,0,7.4,0.0,SSE,56,09:23,23.5,82,7,SSE,28,1023.1,22.5,71,8,SSE,31,1025.7
,2023-03-21,18.1,22.9,0.6,4.4,0.0,ESE,35,23:20,20.2,68,7,ESE,20,1029.3,22.4,60,7,ESE,15,1027.1
,2023-03-22,18.7,24.2,0.2,4.0,1.0,N,30,10:32,20.2,83,7,W,11,1023.1,23.4,72,7,NE,13,1020.2
,2023-03-23,19.4,27.3,1.2,4.4,3.2,SSE,37,14:42,20.9,92,7,W,13,1017.7,25.4,71,7,S,13,1016.1
,2023-03-24,17.5,25.5,4.6,0.8,7.4,SSE,33,11:26,18.9,93,3,W,19,1016.9,24.9,73,5,SE,17,1016.4
,2023-03-25,18.9,24.6,0,6.2,1.2,E,37,18:16,22.2,72,7,ESE,20,1018.5,23.5,64,7,ESE,19,1017.3
,2023-03-26,19.1,26.1,1.8,2.8,2.1,N,31,20:12,20.1,89,7,WNW,7,1018.0,24.8,69,7,ENE,20,1015.4
,2023-03-27,19.4,24.6,8.2,4.4,0.4,W,28,12:53,19.6,98,8,N,13,1013.3,23.4,86,7,W,19,1010.4
,2023-03-28,19.5,24.8,0.6,2.8,0.4,W,24,06:18,21.4,90,7,W,11,1013.8,23.2,81,8,WNW,11,1013.3
,2023-03-29,19.6,27.1,4.2,1.4,4.7,W,54,16:48,20.7,88,8,NNW,31,1007.1,24.3,69,6,NNW,26,1000.6
,2023-03-30,15.6,25.7,0,5.8,10.3,W,41,12:49,17.2,69,1,W,24,1006.5,24.1,34,7,SW,24,1005.8
,2023-03-31,14.3,25.7,0,5.8,10.0,W,39,09:02,15.5,63,1,W,20,1011.6,25.0,38,1,ESE,15,1009.4
