"Daily Weather Observations for Sydney, New South Wales for April 2023"
"Prepared at 13:00 UTC on Sunday  7 May 2023   IDCJDW2124.202304"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-04-1,14.8,20.3,0,6.0,1.4,SSW,44,10:10,16.1,72,2,W,17,1014.2,16.7,93,8,SSW,19,1014.7
,2023-04-2,15.4,20.3,89.4,3.2,0.4,E,46,07:15,16.0,100,7,W,20,1019.1,16.6,98,8,E,22,1018.9
,2023-04-3,15.2,23.8,26.0,2.6,8.2,E,35,14:21,17.8,100,7,WNW,9,1021.6,22.7,74,5,ESE,26,1019.4
,2023-04-4,15.2,26.3,0.8,3.8,9.0,ESE,30,14:18,18.2,92,5,WNW,13,1021.0,25.5,64,3,SE,19,1016.9
,2023-04-5,15.0,25.4,0,7.8,8.1,SSE,30,09:35,19.6,83,5,WNW,17,1016.7,24.7,60,3,SSE,15,1014.3
,2023-04-6,16.0,23.0,3.6,4.0,2.2,W,22,05:34,18.5,95,7,WNW,11,1015.5,22.9,69,7,ENE,6,1012.3
,2023-04-7,15.6,24.8,0.2,2.2,5.2,WSW,44,20:45,18.7,87,7,W,17,1007.4,24.8,65,4,ENE,17,999.5
,2023-04-8,15.6,24.6,3.2,4.4,9.9,W,61,15:26,19.2,63,2,W,31,999.2,23.6,42,3,W,39,999.6
,2023-04-9,14.9,21.8,0,7.0,10.8,W,61,08:10,16.9,47,1,WSW,30,1005.1,20.7,34,1,W,39,1004.9
,2023-04-10,10.7,22.1,0,7.2,9.8,W,41,10:27,14.2,55,1,W,26,1009.4,21.0,34,4,SE,15,1007.2
,2023-04-11,11.2,22.4,0,3.6,8.5,S,46,14:27,15.0,55,1,W,28,1012.0,21.2,53,6,S,26,1009.8
,2023-04-12,12.9,22.0,0,3.6,5.7,W,26,11:23,17.5,75,5,WNW,11,1009.4,20.6,50,7,NW,13,1005.4
,2023-04-13,13.8,22.8,0.4,4.2,6.6,SSW,43,12:09,16.7,87,7,W,17,1009.4,22.4,67,5,S,24,1009.5
,2023-04-14,14.8,22.2,13.0,6.2,5.6,SE,41,12:41,16.7,98,5,WNW,19,1014.4,20.4,67,5,SSE,19,1011.7
,2023-04-15,13.4,25.6,2.0,2.4,9.6,NNE,35,21:48,16.2,91,1,W,9,1010.5,24.1,65,5,NE,20,1005.6
,2023-04-16,16.2,25.1,0,5.8,4.4,W,54,14:07,20.5,65,7,NNE,15,1003.3,25.0,36,1,W,28,1005.2
,2023-04-17,12.9,22.7,0,5.8,10.4,W,37,04:24,17.0,67,1,WNW,17,1022.0,21.6,63,3,SE,19,1022.1
,2023-04-18,13.0,23.7,0,4.0,8.4,E,22,15:44,17.3,84,2,WNW,11,1025.8,23.2,56,2,E,13,1022.1
,2023-04-19,13.9,25.5,0,3.4,9.4,SSW,28,23:04,17.3,84,4,WNW,15,1020.1,23.6,59,2,ENE,17,1016.2
,2023-04-20,17.3,19.8,1.6,5.8,0.0,,,,18.6,79,8,SSE,28,1023.6,17.8,92,8,SSW,13,1023.0
,2023-04-21,13.8,21.6,4.6,0.4,6.4,SSW,33,10:28,17.1,82,3,SW,15,1028.5,18.8,78,3,SSW,6,1027.4
,2023-04-22,13.5,20.0,0.4,4.0,0.9,S,33,11:39,15.8,82,6,W,22,1030.9,18.6,93,7,SE,7,1029.0
,2023-04-23,14.8,23.7,4.4,0.8,4.0,ESE,41,21:40,16.8,100,7,W,17,1031.9,22.3,65,7,SSE,15,1031.6
,2023-04-24,16.8,23.1,1.2,3.2,6.4,ESE,33,00:16,20.5,69,4,ESE,19,1033.8,23.0,68,7,ESE,17,1031.2
,2023-04-25,15.6,23.7,0.8,3.2,8.0,ENE,26,13:40,18.2,99,1,NE,2,1030.3,23.4,60,1,ENE,15,1026.2
,2023-04-26,14.8,21.7,0.2,5.2,5.1,ENE,35,20:35,17.0,92,6,WNW,11,1029.1,21.1,73,7,E,11,1026.2
,2023-04-27,14.9,25.2,0,3.2,9.7,ENE,37,14:24,20.1,74,3,N,15,1025.8,23.9,62,1,NE,20,1021.3
,2023-04-28,14.7,27.5,0,4.2,9.9,NNE,31,20:25,17.2,92,1,WNW,6,1018.4,25.6,62,1,NE,19,1012.7
,2023-04-29,17.2,18.6,0,6.6,0.0,WNW,41,23:19,18.6,86,8,WNW,11,1011.3,18.3,93,8,W,11,1009.5
,2023-04-30,14.1,21.1,27.0,0.6,5.1,WSW,39,00:01,16.2,88,7,WNW,20,1010.4,19.8,63,4,W,19,1009.6
