"Daily Weather Observations for Sydney, New South Wales for June 2023"
"Prepared at 13:00 UTC on Sunday  2 July 2023   IDCJDW2124.202306"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-06-1,14.4,19.3,0,2.2,1.0,SSW,28,19:51,15.7,76,7,NNW,4,1018.2,19.2,67,3,SE,6,1017.1
,2023-06-2,12.1,19.8,0,1.8,8.0,WNW,24,01:51,14.1,96,4,WNW,13,1025.5,19.4,78,2,E,17,1022.9
,2023-06-3,14.1,22.0,0,1.8,5.8,SSE,35,23:06,14.7,100,7,W,13,1025.3,21.1,66,6,SE,11,1023.7
,2023-06-4,14.6,18.4,0,3.8,0.2,S,35,00:32,17.3,74,7,SE,17,1033.4,17.5,65,6,ESE,20,1031.9
,2023-06-5,14.1,18.7,0,3.0,1.8,ENE,37,14:08,16.2,73,7,ESE,13,1032.7,15.7,86,7,E,6,1028.8
,2023-06-6,13.7,19.2,5.0,3.2,2.9,ENE,22,04:23,14.6,99,8,SW,2,1029.8,19.1,75,6,ENE,13,1026.4
,2023-06-7,12.1,20.7,0,2.6,8.3,NNE,37,12:21,13.8,98,1,WNW,11,1027.2,19.8,63,1,NE,20,1023.2
,2023-06-8,12.8,17.8,0,2.2,0.6,N,31,16:45,15.2,87,7,E,2,1017.3,16.1,81,8,N,15,1011.8
,2023-06-9,10.0,20.6,0.2,2.4,9.7,W,43,14:52,13.9,62,1,WNW,11,1016.4,20.2,42,3,W,30,1014.5
,2023-06-10,8.9,19.0,0,4.0,9.1,WSW,33,02:32,10.4,81,1,WNW,15,1023.2,18.4,39,1,E,9,1021.4
,2023-06-11,7.4,18.3,0,3.6,9.0,W,26,06:45,10.1,80,1,WNW,19,1026.3,18.1,52,1,ENE,11,1022.5
,2023-06-12,7.5,19.3,0,0.8,4.7,W,28,07:54,9.0,91,7,W,17,1022.8,19.1,65,3,ENE,15,1017.8
,2023-06-13,9.0,20.6,0,1.4,8.1,WSW,46,18:58,12.2,90,2,WNW,17,1014.7,20.2,51,1,NNW,26,1010.6
,2023-06-14,10.2,18.6,0,3.4,9.3,W,48,14:07,13.4,61,1,WNW,11,1013.3,18.4,31,1,W,30,1012.4
,2023-06-15,7.9,18.8,0,4.0,9.2,W,33,03:09,10.5,67,1,WNW,9,1017.9,18.7,39,3,W,20,1015.3
,2023-06-16,8.0,19.0,0,3.6,9.2,W,24,08:10,10.6,76,1,W,19,1022.0,18.0,53,1,ESE,13,1019.8
,2023-06-17,7.8,18.4,0,2.8,9.3,NNW,24,21:34,9.9,81,0,WNW,17,1022.4,18.1,55,0,E,9,1017.1
,2023-06-18,7.0,19.3,0,3.0,7.8,WNW,48,13:39,10.2,79,0,ESE,4,1016.1,18.2,36,5,W,22,1012.6
,2023-06-19,5.9,17.7,0,4.0,8.4,WSW,46,21:40,8.2,70,7,W,19,1016.8,17.4,34,1,NW,19,1011.5
,2023-06-20,6.8,15.3,0,4.4,9.1,W,43,01:43,9.1,57,1,W,24,1020.5,14.8,40,3,SSW,19,1020.0
,2023-06-21,5.2,17.3,0,2.2,9.1,W,33,07:44,7.1,71,1,W,22,1024.8,16.8,36,1,NW,9,1022.1
,2023-06-22,7.1,15.2,0,2.0,1.0,W,26,03:08,9.7,73,7,WNW,17,1020.4,14.6,70,8,NNE,7,1015.7
,2023-06-23,9.7,18.9,8.6,2.4,8.1,NW,50,11:50,11.6,98,1,WNW,9,1009.3,18.7,36,1,WNW,22,1006.5
,2023-06-24,9.3,20.2,0,3.8,9.1,WNW,31,12:05,12.5,65,2,WNW,13,1014.4,20.0,38,3,NNW,15,1010.7
,2023-06-25,11.6,20.3,0,4.4,9.2,W,61,13:43,14.0,48,1,WNW,9,1012.7,20.0,29,1,W,28,1009.7
,2023-06-26,10.8,19.5,0,6.4,9.0,W,67,16:39,14.4,47,1,NW,17,1013.9,18.9,33,1,W,35,1012.4
,2023-06-27,10.1,18.4,0,6.4,7.3,W,37,00:10,12.5,62,6,W,13,1021.8,18.3,43,7,WNW,11,1018.5
,2023-06-28,11.0,11.7,0.8,1.4,0.0,W,30,22:09,11.3,86,7,WNW,17,1017.7,10.4,96,8,W,13,1012.9
,2023-06-29,7.9,16.3,3.0,1.6,9.1,W,39,10:13,10.2,69,1,W,9,1017.3,16.2,40,1,W,20,1015.5
,2023-06-30,7.5,18.9,0.2,3.0,9.2,W,46,12:38,10.7,60,0,W,30,1017.8,18.6,41,1,W,24,1016.6
