"Daily Weather Observations for Sydney, New South Wales for July 2023"
"Prepared at 16:00 UTC on Saturday 16 September 2023   IDCJDW2124.202307"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-07-1,7.3,18.6,0,2.8,9.1,W,41,14:37,10.8,70,2,W,9,1020.6,18.4,43,2,WSW,19,1019.3
,2023-07-2,7.9,17.8,0,5.8,8.6,SSE,33,15:33,10.0,73,2,WNW,22,1030.8,17.0,56,4,S,19,1029.3
,2023-07-3,9.8,18.3,0,2.0,2.8,W,26,01:09,11.1,80,7,WNW,17,1031.2,17.2,73,7,ESE,11,1027.2
,2023-07-4,11.1,15.9,2.4,1.2,0.0,N,22,12:47,13.2,99,8,WNW,4,1021.0,15.6,93,8,NW,11,1015.3
,2023-07-5,12.4,21.6,2.0,1.0,6.5,W,26,05:45,12.9,99,7,WNW,15,1012.6,21.6,55,3,WNW,13,1010.4
,2023-07-6,9.4,17.6,0,2.4,8.2,NW,37,15:53,11.1,80,1,W,17,1014.5,16.0,52,7,WNW,9,1009.7
,2023-07-7,8.9,18.9,0,3.4,9.3,W,41,15:11,11.3,75,1,W,9,1011.2,18.1,36,1,WSW,24,1010.2
,2023-07-8,8.7,19.7,0,3.4,9.3,NW,69,14:32,12.9,56,1,N,26,1013.8,19.6,32,1,WNW,44,1009.6
,2023-07-9,11.1,19.0,0,5.2,9.3,W,59,12:27,13.7,54,1,WNW,33,1017.0,18.7,41,1,W,35,1016.3
,2023-07-10,9.7,19.9,0,6.2,9.3,W,33,19:43,12.7,67,1,W,9,1022.5,19.7,42,1,WNW,9,1020.2
,2023-07-11,7.4,20.3,0,2.8,9.4,W,35,10:43,10.1,70,0,W,20,1026.0,20.2,36,0,WNW,11,1024.3
,2023-07-12,7.8,19.6,0,2.6,9.3,W,26,09:24,10.0,81,1,W,19,1030.7,18.2,59,1,ENE,17,1027.2
,2023-07-13,7.5,21.9,0,2.8,9.4,W,20,04:45,9.0,91,0,WNW,13,1028.2,21.2,36,1,WSW,6,1024.5
,2023-07-14,8.3,23.3,0,3.2,9.3,NW,26,21:36,10.8,75,4,WNW,7,1025.2,23.2,35,3,NNW,15,1020.5
,2023-07-15,10.8,23.6,0,2.2,7.5,WNW,44,15:09,16.7,58,7,N,17,1021.2,23.1,33,7,WNW,22,1018.4
,2023-07-16,13.5,18.1,0,7.4,0.0,SSW,41,13:30,16.4,85,7,SSW,9,1027.6,15.8,90,7,S,7,1027.7
,2023-07-17,12.0,18.2,2.4,0.6,4.4,ENE,22,15:51,13.4,99,7,W,17,1030.6,16.8,80,6,ENE,11,1027.8
,2023-07-18,10.2,21.9,0,2.8,6.8,,,,12.2,98,2,WNW,17,1024.1,21.7,39,2,WNW,15,1018.4
,2023-07-19,8.7,16.0,0.2,2.8,9.4,,,,10.3,57,1,W,20,1023.4,15.5,41,1,S,17,1022.2
,2023-07-20,5.1,19.5,0,4.0,9.4,,,,7.5,81,2,W,22,1021.7,19.4,35,3,N,9,1014.3
,2023-07-21,7.5,20.1,0,3.8,4.6,WNW,48,13:04,13.6,61,6,WNW,24,1016.5,17.6,50,5,SSE,20,1015.7
,2023-07-22,7.1,17.0,0,3.2,9.2,W,35,05:34,9.3,65,2,W,28,1022.6,15.6,53,5,S,20,1020.6
,2023-07-23,7.3,17.7,0,2.8,8.6,S,41,12:14,9.8,77,4,WNW,20,1023.3,17.6,49,4,SSW,20,1022.7
,2023-07-24,9.8,17.1,14.0,3.8,3.8,W,33,00:21,12.3,100,5,WNW,20,1029.0,16.7,68,4,S,15,1028.5
,2023-07-25,7.9,19.7,0,2.2,9.5,WNW,26,05:06,10.1,88,1,W,19,1036.0,16.9,69,2,SE,13,1034.8
,2023-07-26,8.3,20.7,0,2.6,9.5,WSW,24,23:34,10.0,95,1,WNW,17,1036.2,19.6,53,0,E,11,1030.7
,2023-07-27,8.1,19.5,0,3.0,9.7,W,30,08:33,10.5,76,1,W,22,1032.2,18.9,70,1,ENE,17,1026.3
,2023-07-28,10.4,24.4,0,4.8,6.1,W,31,14:21,15.9,57,7,N,15,1021.7,24.1,35,5,W,20,1019.2
,2023-07-29,12.8,22.6,0,3.8,7.3,ENE,26,13:54,15.4,79,4,WNW,11,1023.4,20.2,58,7,ENE,17,1019.7
,2023-07-30,11.6,25.2,0,4.0,9.8,NW,31,13:32,14.6,78,1,W,13,1020.8,24.9,35,2,WNW,20,1016.0
,2023-07-31,12.3,23.5,0,4.0,9.7,W,46,10:21,15.1,59,1,WNW,20,1022.7,23.4,33,0,WNW,11,1020.1
