"Daily Weather Observations for Sydney, New South Wales for August 2023"
"Prepared at 13:00 UTC on Thursday 21 September 2023   IDCJDW2124.202308"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-08-1,10.7,21.9,0,4.2,9.7,W,37,00:40,13.4,62,1,W,24,1026.6,21.4,37,1,E,13,1026.4
,2023-08-2,11.1,18.9,0,3.0,1.4,W,24,05:57,13.5,77,6,WNW,17,1035.8,17.6,72,7,E,13,1034.3
,2023-08-3,9.7,21.7,0,1.6,9.8,NNE,31,16:49,12.3,97,1,W,11,1035.9,19.8,64,2,NE,17,1031.6
,2023-08-4,10.1,20.7,0,4.0,9.8,NNE,33,20:33,12.1,89,5,WNW,9,1033.7,19.9,64,2,ENE,15,1028.5
,2023-08-5,12.1,16.4,0,5.0,0.0,W,30,09:48,14.1,67,7,WNW,11,1030.0,16.3,66,7,E,4,1028.6
,2023-08-6,12.2,17.0,16.6,1.4,0.5,SSW,37,13:13,13.5,91,6,W,11,1033.0,16.2,70,7,SSW,19,1031.2
,2023-08-7,10.8,16.3,0,2.4,0.3,SW,24,08:41,13.5,86,7,SSW,13,1031.7,15.5,76,7,SSW,15,1029.9
,2023-08-8,11.0,19.2,8.2,0.6,6.7,SSE,28,13:33,11.9,96,5,WNW,17,1032.5,18.0,59,5,SSE,17,1030.0
,2023-08-9,11.0,20.9,0,3.4,8.8,N,39,21:16,13.4,88,1,W,19,1032.0,20.7,57,1,NE,19,1026.2
,2023-08-10,12.4,23.8,0,3.6,9.1,W,54,12:50,16.6,50,5,N,17,1021.0,21.4,32,5,WNW,33,1015.7
,2023-08-11,9.2,19.7,0,4.0,10.0,W,31,01:33,12.3,60,1,W,22,1023.2,17.7,55,1,ENE,17,1019.8
,2023-08-12,7.7,21.3,0,5.2,8.5,W,28,04:17,11.5,73,1,W,11,1019.8,20.7,33,5,SW,13,1015.6
,2023-08-13,11.5,18.5,0,4.2,2.9,SSE,31,14:51,13.8,71,7,W,11,1019.4,15.9,71,6,SSE,24,1018.1
,2023-08-14,11.6,16.0,15.6,1.6,0.5,S,31,14:53,13.2,99,7,SSW,7,1016.9,13.6,95,7,SSW,15,1014.7
,2023-08-15,8.3,16.7,3.0,1.4,8.6,SSE,41,13:07,11.2,86,3,W,22,1020.7,16.4,66,5,S,22,1020.0
,2023-08-16,8.8,17.3,12.6,1.8,6.0,W,24,05:46,10.9,98,7,W,19,1023.6,15.3,73,6,E,15,1019.1
,2023-08-17,8.2,21.3,0,3.4,9.8,WNW,24,06:56,10.9,92,1,W,19,1014.9,19.7,45,4,E,17,1009.4
,2023-08-18,10.9,19.2,9.2,2.8,9.4,W,67,15:06,13.3,86,5,NW,22,1002.9,17.7,35,4,W,33,1003.3
,2023-08-19,8.9,19.1,0.2,6.4,10.6,WSW,54,17:26,11.8,53,1,W,26,1016.3,17.9,42,3,W,22,1015.3
,2023-08-20,11.0,22.5,0,4.2,11.0,W,33,00:10,14.5,66,1,W,22,1022.9,20.1,46,1,E,20,1021.0
,2023-08-21,11.5,21.6,0,4.8,10.2,E,24,13:05,14.8,69,1,WNW,13,1023.7,18.8,59,1,ENE,17,1020.0
,2023-08-22,10.1,24.6,0,4.4,7.8,NNW,44,19:43,13.5,77,6,WNW,13,1021.1,22.5,50,7,NE,19,1016.3
,2023-08-23,11.4,18.6,1.0,5.2,5.0,W,50,09:06,14.2,58,1,W,28,1022.7,15.0,86,8,SSW,22,1023.9
,2023-08-24,11.2,20.8,0.8,2.8,6.9,WNW,22,06:14,13.7,93,3,WNW,17,1029.8,18.3,57,5,E,11,1027.0
,2023-08-25,9.1,,0,3.0,10.6,SSW,24,11:52,12.6,80,1,WNW,17,1027.0,20.6,55,3,SE,17,1024.9
,2023-08-26,10.3,20.2,,3.6,9.4,SSE,28,14:53,13.8,84,5,WNW,17,1029.4,18.4,68,3,SSE,15,1027.4
,2023-08-27,10.5,20.5,0,,9.4,E,24,15:30,14.0,90,2,W,13,1029.0,19.5,61,4,E,17,1026.3
,2023-08-28,10.7,20.4,0,3.2,8.7,NE,33,15:37,14.3,90,3,W,11,1026.8,19.8,60,5,ENE,20,1022.3
,2023-08-29,11.0,20.9,0,4.8,10.5,NNE,31,16:40,14.2,90,1,W,7,1021.3,20.3,63,2,ENE,17,1016.2
,2023-08-30,11.8,27.5,0,5.2,6.8,SSW,52,16:27,15.4,71,3,W,4,1014.3,20.9,62,7,ENE,13,1010.2
,2023-08-31,11.5,20.5,9.4,4.6,9.7,S,39,11:26,15.1,85,3,W,17,1016.7,18.5,69,3,SE,13,1014.7
