"Daily Weather Observations for Sydney, New South Wales for September 2023"
"Prepared at 13:00 UTC on Sunday  1 October 2023   IDCJDW2124.202309"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-09-1,11.1,18.5,0.4,3.8,8.6,SSE,63,15:37,13.5,79,6,WNW,11,1019.7,17.0,47,2,SSE,37,1019.2
,2023-09-2,8.7,18.7,0.4,5.8,10.3,S,37,11:07,12.7,65,3,W,17,1023.7,18.2,59,3,S,17,1020.4
,2023-09-3,10.3,21.0,0.2,4.6,7.9,ESE,24,15:09,13.2,84,6,WNW,9,1022.6,19.2,55,5,ESE,17,1018.7
,2023-09-4,10.3,20.6,0,3.0,9.7,NE,41,14:45,14.6,80,2,W,6,1017.1,20.1,65,4,ENE,22,1011.2
,2023-09-5,13.5,25.5,0,3.6,9.8,WSW,48,10:18,18.9,56,1,W,31,1010.9,24.8,18,1,W,19,1011.3
,2023-09-6,10.4,21.0,0,7.0,10.7,NNE,48,19:58,15.7,56,0,NW,2,1023.2,19.9,51,0,NE,22,1019.6
,2023-09-7,10.3,25.3,0,6.0,10.2,NW,69,22:41,13.8,78,1,W,13,1020.0,21.2,67,1,NE,20,1013.4
,2023-09-8,13.0,19.1,5.0,9.2,3.7,NW,74,01:22,13.1,92,7,W,20,1016.8,18.6,32,1,WNW,28,1014.8
,2023-09-9,9.3,19.7,2.8,4.4,10.7,W,44,08:06,12.9,47,0,WSW,24,1025.5,17.2,35,1,SE,19,1024.2
,2023-09-10,7.3,19.8,0,5.0,9.8,W,31,03:54,12.6,57,1,W,17,1030.5,18.0,51,1,ESE,19,1027.8
,2023-09-11,8.3,20.8,0,3.4,10.5,ESE,30,13:31,13.5,65,2,WNW,17,1032.4,19.1,47,5,ESE,19,1029.7
,2023-09-12,9.4,21.2,0,4.4,6.3,W,22,07:49,14.4,75,2,WNW,13,1031.1,17.5,66,7,E,13,1027.5
,2023-09-13,10.3,23.3,0,3.0,10.4,E,24,12:54,15.3,79,0,WNW,15,1028.8,21.4,56,1,ENE,15,1026.0
,2023-09-14,10.9,23.1,0,4.8,10.2,E,22,12:33,16.5,66,1,WNW,13,1028.8,22.0,52,1,ENE,13,1025.3
,2023-09-15,12.0,23.9,0,5.4,10.1,NNE,37,16:21,17.1,64,7,W,11,1025.1,23.7,48,3,NE,15,1020.7
,2023-09-16,13.9,31.8,0,5.6,10.8,ENE,31,14:43,20.2,51,0,WNW,9,1022.2,29.4,31,0,ENE,24,1017.2
,2023-09-17,16.7,32.8,0,10.2,10.9,WNW,24,09:17,22.9,41,0,WNW,19,1022.6,32.6,19,0,NW,11,1018.3
,2023-09-18,14.3,29.8,0,8.0,10.7,NE,35,16:37,20.6,49,0,W,17,1021.5,27.4,41,0,ESE,15,1015.8
,2023-09-19,16.4,34.6,0,8.4,10.6,NNW,41,12:59,25.4,39,0,E,2,1017.0,27.4,47,1,E,4,1010.7
,2023-09-20,20.5,33.9,0,11.6,10.5,WNW,67,11:56,27.2,26,1,NW,31,1010.2,33.6,18,1,NW,35,1005.6
,2023-09-21,16.0,23.0,0,13.8,10.1,WSW,54,09:47,20.0,38,2,W,26,1015.7,20.0,56,5,SE,24,1018.0
,2023-09-22,11.1,19.4,9.4,8.2,4.9,S,39,11:46,14.1,84,6,W,13,1029.7,17.0,59,2,SSE,20,1028.0
,2023-09-23,9.3,20.9,1.6,4.6,6.0,ESE,24,15:15,17.3,67,7,WNW,11,1030.8,19.7,49,5,E,15,1027.6
,2023-09-24,12.1,21.2,0,3.0,5.3,E,28,16:59,16.5,70,7,WNW,11,1029.4,20.0,50,1,E,20,1025.3
,2023-09-25,11.2,23.3,0,6.6,10.3,E,31,15:47,18.2,68,0,W,11,1024.2,22.4,60,1,NE,13,1018.5
,2023-09-26,13.8,21.6,0,5.8,5.2,SSW,39,08:05,19.6,82,7,SSW,24,1022.1,21.0,64,4,SE,13,1019.5
,2023-09-27,14.8,24.0,1.4,3.2,4.9,E,24,15:40,18.1,91,7,W,4,1020.7,21.7,72,5,E,17,1018.4
,2023-09-28,15.2,21.5,9.8,4.2,4.3,SE,31,03:57,17.9,83,7,SSE,13,1028.9,20.4,69,4,E,19,1025.5
,2023-09-29,13.3,25.8,0,3.8,10.5,ESE,26,14:13,19.5,78,1,W,9,1024.4,23.0,64,0,ESE,19,1020.9
,2023-09-30,14.6,25.0,0,4.0,9.7,NNE,35,18:40,21.1,82,1,NNE,15,1023.1,23.2,74,0,ENE,19,1016.4
